Frequency (Hz)	Level (dB)
0.336456	-64.402466
0.672913	-64.390472
1.009369	-64.394211
1.345825	-64.313278
1.682281	-64.304657
2.018738	-64.154549
2.355194	-64.224106
2.691650	-64.276558
3.028107	-64.104019
3.364563	-63.981991
3.701019	-63.971443
4.037476	-63.918007
4.373932	-63.912460
4.710388	-63.730980
5.046844	-63.721149
5.383301	-63.701294
5.719757	-63.587364
6.056213	-63.471199
6.392670	-63.391579
6.729126	-63.374298
7.065582	-63.259785
7.402039	-62.988438
7.738495	-62.815617
8.074951	-63.432137
8.411407	-62.356018
8.747864	-61.409554
9.084320	-62.471001
9.420776	-61.227371
9.757233	-60.875431
10.093689	-60.532207
10.430145	-61.498924
10.766602	-60.921944
11.103058	-58.822433
11.439514	-57.300079
11.775970	-55.229771
12.112427	-57.754604
12.448883	-57.844421
12.785339	-59.555729
13.121796	-59.040714
13.458252	-57.278435
13.794708	-57.189072
14.131165	-56.848896
14.467621	-58.264683
14.804077	-58.106213
15.140533	-57.251308
15.476990	-58.632156
15.813446	-56.781273
16.149902	-57.185608
16.486359	-56.417805
16.822815	-56.030186
17.159271	-55.976303
17.495728	-55.224556
17.832184	-54.665462
18.168640	-54.098686
18.505096	-53.769650
18.841553	-53.375080
19.178009	-52.744274
19.514465	-51.228989
19.850922	-50.999180
20.187378	-50.471935
20.523834	-48.855858
20.860291	-47.839405
21.196747	-47.182011
21.533203	-45.830086
21.869659	-44.565502
22.206116	-43.088383
22.542572	-39.969055
22.879028	-37.020348
23.215485	-30.225603
23.551941	-7.781055
23.888397	-29.751232
24.224854	-36.581425
24.561310	-39.637756
24.897766	-42.579025
25.234222	-44.031391
25.570679	-45.791370
25.907135	-46.751934
26.243591	-46.931725
26.580048	-48.180161
26.916504	-50.471191
27.252960	-50.148724
27.589417	-49.317421
27.925873	-51.348961
28.262329	-53.677837
28.598785	-52.974586
28.935242	-54.357811
29.271698	-53.018677
29.608154	-53.114929
29.944611	-54.918251
30.281067	-54.528362
30.617523	-54.395870
30.953979	-54.680363
31.290436	-56.170479
31.626892	-56.894073
31.963348	-55.998493
32.299805	-56.395817
32.636261	-57.028034
32.972717	-55.253357
33.309174	-57.907906
33.645630	-57.331715
