Frequency (Hz)	Level (dB)
10.766602	-43.037239
21.533203	-9.828350
32.299805	-41.083004
43.066406	-29.713797
53.833008	-43.198654
64.599609	-38.733067
75.366211	-43.779655
86.132812	-41.868256
96.899414	-45.394295
107.666016	-35.371769
118.432617	-45.886185
129.199219	-34.925297
139.965820	-45.562424
150.732422	-38.480129
161.499023	-43.794044
172.265625	-36.132614
183.032227	-42.262005
193.798828	-35.595325
204.565430	-35.708221
215.332031	-27.777252
226.098633	-38.246635
236.865234	-36.354713
247.631836	-43.125217
258.398438	-38.913261
269.165039	-46.479530
279.931641	-44.515759
290.698242	-48.072727
301.464844	-44.716183
312.231445	-48.927734
322.998047	-46.401115
333.764648	-50.033604
344.531250	-46.952946
355.297852	-49.550156
366.064453	-46.332367
376.831055	-47.539696
387.597656	-43.606651
398.364258	-46.089283
409.130859	-41.694561
419.897461	-40.708611
430.664062	-39.747662
441.430664	-45.979233
452.197266	-47.433338
462.963867	-49.141380
473.730469	-49.672752
484.497070	-52.039646
495.263672	-52.436653
506.030273	-52.599995
516.796875	-53.000172
527.563477	-53.695103
538.330078	-53.219883
549.096680	-53.675331
559.863281	-53.706055
570.629883	-52.970989
581.396484	-51.407124
592.163086	-51.139801
602.929688	-49.980244
613.696289	-47.731682
624.462891	-46.432865
635.229492	-47.069843
645.996094	-47.809917
656.762695	-48.144863
667.529297	-48.535408
678.295898	-49.945915
689.062500	-50.414181
699.829102	-51.119091
710.595703	-51.932362
721.362305	-52.688698
732.128906	-52.973808
742.895508	-53.084812
753.662109	-52.856705
764.428711	-52.870918
775.195312	-52.704399
785.961914	-51.472824
796.728516	-50.756142
807.495117	-49.336510
818.261719	-48.345737
829.028320	-47.427086
839.794922	-46.095455
850.561523	-45.145344
861.328125	-44.716415
872.094727	-44.574203
882.861328	-45.205250
893.627930	-45.674267
904.394531	-46.418819
915.161133	-47.245831
925.927734	-48.303593
936.694336	-48.296368
947.460938	-48.682858
958.227539	-49.227730
968.994141	-50.325752
979.760742	-50.774784
990.527344	-51.534134
1001.293945	-51.374672
1012.060547	-51.164593
1022.827148	-50.716858
1033.593750	-50.474819
1044.360352	-49.647892
1055.126953	-48.713493
1065.893555	-47.642258
1076.660156	-45.996460
1087.426758	-44.278370
1098.193359	-42.325741
1108.959961	-42.042374
1119.726562	-43.353027
1130.493164	-45.046761
1141.259766	-46.245052
1152.026367	-47.689480
1162.792969	-48.822807
1173.559570	-49.096416
1184.326172	-49.674488
1195.092773	-49.925873
1205.859375	-49.562721
1216.625977	-49.106148
1227.392578	-48.551743
1238.159180	-47.812000
1248.925781	-46.676292
1259.692383	-45.568104
1270.458984	-44.017467
1281.225586	-42.014984
1291.992188	-40.253323
1302.758789	-38.237614
1313.525391	-39.099899
1324.291992	-40.768654
1335.058594	-43.049721
1345.825195	-44.524918
1356.591797	-45.496342
1367.358398	-46.414383
1378.125000	-47.176502
1388.891602	-47.590527
1399.658203	-47.345280
1410.424805	-47.326580
1421.191406	-47.287704
1431.958008	-47.035908
1442.724609	-46.138607
1453.491211	-44.926640
1464.257812	-44.302742
1475.024414	-43.629166
1485.791016	-41.816002
1496.557617	-40.587120
1507.324219	-40.245079
1518.090820	-40.073204
1528.857422	-40.358379
1539.624023	-41.891846
1550.390625	-43.037266
1561.157227	-43.709316
1571.923828	-44.401581
1582.690430	-45.056099
1593.457031	-45.988323
1604.223633	-45.950542
1614.990234	-46.500546
1625.756836	-46.444279
1636.523438	-46.050133
1647.290039	-45.949238
1658.056641	-45.712189
1668.823242	-44.901882
1679.589844	-44.645592
1690.356445	-43.919697
1701.123047	-43.888752
1711.889648	-43.344170
1722.656250	-42.633152
1733.422852	-43.074974
1744.189453	-42.915127
1754.956055	-43.231861
1765.722656	-43.062344
1776.489258	-43.466705
1787.255859	-43.675720
1798.022461	-44.586811
1808.789062	-44.795761
1819.555664	-45.248383
1830.322266	-45.724243
1841.088867	-45.545395
1851.855469	-45.936913
1862.622070	-45.446754
1873.388672	-45.603294
1884.155273	-45.878788
1894.921875	-45.129578
1905.688477	-44.981308
1916.455078	-44.652569
1927.221680	-44.256893
1937.988281	-43.583855
1948.754883	-43.393364
1959.521484	-42.966976
1970.288086	-42.697060
1981.054688	-42.507847
1991.821289	-42.489384
2002.587891	-42.743122
2013.354492	-43.014191
2024.121094	-43.105785
2034.887695	-43.599617
2045.654297	-44.420387
2056.420898	-44.732800
2067.187500	-44.983456
2077.954102	-44.830910
2088.720703	-45.417507
2099.487305	-45.382328
2110.253906	-44.988312
2121.020508	-45.169376
2131.787109	-44.695438
2142.553711	-44.433975
2153.320312	-43.886139
2164.086914	-42.786697
2174.853516	-41.946507
2185.620117	-41.152782
2196.386719	-40.633152
2207.153320	-39.955425
2217.919922	-40.066914
2228.686523	-40.378727
2239.453125	-41.179989
2250.219727	-42.056793
2260.986328	-42.949520
2271.752930	-44.051205
2282.519531	-44.231285
2293.286133	-44.783833
2304.052734	-45.002071
2314.819336	-45.349339
2325.585938	-45.433155
2336.352539	-45.390377
2347.119141	-44.806328
2357.885742	-44.385509
2368.652344	-43.570816
2379.418945	-42.522110
2390.185547	-41.528610
2400.952148	-40.348549
2411.718750	-38.735508
2422.485352	-37.861893
2433.251953	-38.008118
2444.018555	-39.382225
2454.785156	-40.492786
2465.551758	-41.534431
2476.318359	-42.573574
