Frequency (Hz)	Level (dB)
10.766602	-26.114845
21.533203	-9.815015
32.299805	-23.459757
43.066406	-17.563713
53.833008	-25.040045
64.599609	-23.184692
75.366211	-23.622488
86.132812	-24.563450
96.899414	-25.660524
107.666016	-28.952452
118.432617	-28.696957
129.199219	-30.621828
139.965820	-30.235357
150.732422	-30.323122
161.499023	-30.582302
172.265625	-30.922371
183.032227	-30.509848
193.798828	-30.573586
204.565430	-30.143990
215.332031	-29.806570
226.098633	-29.580435
236.865234	-29.579679
247.631836	-29.120729
258.398438	-27.616852
269.165039	-26.876352
279.931641	-26.319815
290.698242	-28.011158
301.464844	-29.283417
312.231445	-29.724583
322.998047	-30.054350
333.764648	-30.612804
344.531250	-31.177143
355.297852	-31.394831
366.064453	-31.977776
376.831055	-31.991310
387.597656	-31.907681
398.364258	-31.963812
409.130859	-32.036163
419.897461	-32.162571
430.664062	-32.134243
441.430664	-32.247528
452.197266	-31.926931
462.963867	-32.356396
473.730469	-32.168240
484.497070	-31.973463
495.263672	-31.640909
506.030273	-31.491079
516.796875	-31.046787
527.563477	-30.275078
538.330078	-28.651020
549.096680	-29.505884
559.863281	-30.366226
570.629883	-31.459007
581.396484	-31.873783
592.163086	-32.504532
602.929688	-32.952385
613.696289	-33.875648
624.462891	-34.343231
635.229492	-34.074688
645.996094	-34.369419
656.762695	-34.672226
667.529297	-34.293793
678.295898	-35.057457
689.062500	-34.938526
699.829102	-35.189823
710.595703	-34.921803
721.362305	-34.678341
732.128906	-34.580975
742.895508	-34.690258
753.662109	-34.474926
764.428711	-34.221386
775.195312	-33.532352
785.961914	-32.880878
796.728516	-31.975601
807.495117	-31.581240
818.261719	-31.886797
829.028320	-32.195412
839.794922	-32.503925
850.561523	-33.203220
861.328125	-33.770035
872.094727	-34.388760
882.861328	-35.031372
893.627930	-35.353184
904.394531	-36.014706
915.161133	-36.932968
925.927734	-36.756977
936.694336	-37.333019
947.460938	-37.729530
958.227539	-37.124310
968.994141	-37.457081
979.760742	-37.283276
990.527344	-37.488228
1001.293945	-37.401390
1012.060547	-37.388237
1022.827148	-37.387314
1033.593750	-37.149544
1044.360352	-36.610741
1055.126953	-36.233475
1065.893555	-35.752270
1076.660156	-35.275822
1087.426758	-34.619358
1098.193359	-33.513409
1108.959961	-33.416882
1119.726562	-33.321476
1130.493164	-33.758049
1141.259766	-34.593250
1152.026367	-35.588509
1162.792969	-36.071331
1173.559570	-36.931778
1184.326172	-37.616192
1195.092773	-38.010551
1205.859375	-38.465897
1216.625977	-39.537670
1227.392578	-39.625378
1238.159180	-39.857971
1248.925781	-39.739925
1259.692383	-39.272400
1270.458984	-39.371639
1281.225586	-38.911144
1291.992188	-38.861713
1302.758789	-38.612885
1313.525391	-38.189552
1324.291992	-37.335064
1335.058594	-37.486763
1345.825195	-36.552357
1356.591797	-36.187496
1367.358398	-35.515045
1378.125000	-34.777557
1388.891602	-34.241436
1399.658203	-33.492924
1410.424805	-33.386639
1421.191406	-33.505859
1431.958008	-34.033939
1442.724609	-35.607964
1453.491211	-36.390671
1464.257812	-37.771976
1475.024414	-38.479908
1485.791016	-39.493454
1496.557617	-40.147629
1507.324219	-41.100330
1518.090820	-41.913998
1528.857422	-42.434998
1539.624023	-42.510887
1550.390625	-42.965748
1561.157227	-42.846889
1571.923828	-42.663128
1582.690430	-43.004745
1593.457031	-42.301208
1604.223633	-41.918709
1614.990234	-40.905106
1625.756836	-40.387268
1636.523438	-39.275253
1647.290039	-38.425610
1658.056641	-37.895504
1668.823242	-37.235596
1679.589844	-37.326523
1690.356445	-37.779915
1701.123047	-39.064209
1711.889648	-40.034229
1722.656250	-40.823456
1733.422852	-42.390873
1744.189453	-42.993198
1754.956055	-43.845612
1765.722656	-44.482063
1776.489258	-44.964066
1787.255859	-45.413818
1798.022461	-45.710587
1808.789062	-46.280891
1819.555664	-46.335194
1830.322266	-46.332756
1841.088867	-46.580364
1851.855469	-46.371426
1862.622070	-46.175297
1873.388672	-45.497314
1884.155273	-45.598713
1894.921875	-45.215961
1905.688477	-44.993969
1916.455078	-44.520363
1927.221680	-43.896317
1937.988281	-44.113411
1948.754883	-43.397034
1959.521484	-43.757469
1970.288086	-44.244804
1981.054688	-45.208416
1991.821289	-45.590233
2002.587891	-45.988586
2013.354492	-46.794163
2024.121094	-47.483112
2034.887695	-48.155552
2045.654297	-48.330296
2056.420898	-48.800404
2067.187500	-49.382069
2077.954102	-49.434669
2088.720703	-49.441505
2099.487305	-49.410877
2110.253906	-49.427990
2121.020508	-49.404682
2131.787109	-49.495853
2142.553711	-49.704346
2153.320312	-49.301109
2164.086914	-49.383873
2174.853516	-48.782883
2185.620117	-48.700775
2196.386719	-48.524117
