Frequency (Hz)	Level (dB)
10.766602	-25.560446
21.533203	-12.171311
32.299805	-21.682640
43.066406	-27.233883
53.833008	-29.409880
64.599609	-32.329899
75.366211	-29.407867
86.132812	-36.016964
96.899414	-31.379520
107.666016	-38.031097
118.432617	-35.932636
129.199219	-39.054817
139.965820	-40.362751
150.732422	-40.934704
161.499023	-42.547768
172.265625	-41.210487
183.032227	-44.363987
193.798828	-42.681229
204.565430	-44.974384
215.332031	-43.964516
226.098633	-45.528976
236.865234	-45.061680
247.631836	-45.787136
258.398438	-46.198174
269.165039	-44.729084
279.931641	-46.141041
290.698242	-43.970005
301.464844	-44.683689
312.231445	-41.250423
322.998047	-41.745724
333.764648	-39.082581
344.531250	-38.423714
355.297852	-41.638920
366.064453	-43.011883
376.831055	-46.005157
387.597656	-46.266647
398.364258	-48.624344
409.130859	-49.369991
419.897461	-50.519142
430.664062	-50.834618
441.430664	-51.383942
452.197266	-51.800846
462.963867	-52.153572
473.730469	-52.568050
484.497070	-52.659096
495.263672	-52.923069
506.030273	-53.036839
516.796875	-53.198364
527.563477	-53.477192
538.330078	-53.690968
549.096680	-53.709106
559.863281	-53.523792
570.629883	-53.946716
581.396484	-53.705555
592.163086	-53.992393
602.929688	-53.695347
613.696289	-53.357399
624.462891	-52.604847
635.229492	-52.450207
645.996094	-51.514294
656.762695	-49.864296
667.529297	-48.310928
678.295898	-47.087463
689.062500	-47.767582
699.829102	-48.670265
710.595703	-50.554096
721.362305	-51.938168
732.128906	-52.967590
742.895508	-53.875320
753.662109	-54.222309
764.428711	-54.593357
775.195312	-55.130344
785.961914	-55.429462
796.728516	-55.551884
807.495117	-56.018513
818.261719	-56.034061
829.028320	-56.375290
839.794922	-56.589264
850.561523	-56.716084
861.328125	-56.469883
872.094727	-56.723106
882.861328	-56.718506
893.627930	-56.830734
904.394531	-56.805649
915.161133	-56.593010
925.927734	-56.415710
936.694336	-55.759953
947.460938	-54.962975
958.227539	-54.660213
968.994141	-53.342480
979.760742	-52.541290
990.527344	-51.512074
1001.293945	-50.833347
1012.060547	-50.705429
1022.827148	-51.131283
1033.593750	-51.479485
1044.360352	-51.937168
1055.126953	-52.329369
1065.893555	-52.861004
1076.660156	-53.244152
1087.426758	-53.452198
1098.193359	-54.061199
1108.959961	-54.756580
1119.726562	-54.676083
1130.493164	-55.485840
1141.259766	-55.781178
