Frequency (Hz)	Level (dB)
10.766602	-25.388256
21.533203	-8.889672
32.299805	-21.567875
43.066406	-19.858461
53.833008	-24.623377
64.599609	-21.547447
75.366211	-27.360941
86.132812	-21.843395
96.899414	-27.438437
107.666016	-28.893469
118.432617	-32.287743
129.199219	-30.693226
139.965820	-34.254662
150.732422	-31.866726
161.499023	-34.720737
172.265625	-35.371441
183.032227	-35.693222
193.798828	-35.755707
204.565430	-35.574875
215.332031	-35.034069
226.098633	-34.951252
236.865234	-34.269650
247.631836	-33.706707
258.398438	-33.011181
269.165039	-31.125242
279.931641	-30.721811
290.698242	-32.286282
301.464844	-33.567886
312.231445	-34.681316
322.998047	-35.225643
333.764648	-36.121891
344.531250	-36.450630
355.297852	-36.473598
366.064453	-37.520065
376.831055	-37.666454
387.597656	-38.064453
398.364258	-38.200665
409.130859	-38.418163
419.897461	-38.475578
430.664062	-38.530079
441.430664	-38.648109
452.197266	-38.809998
462.963867	-38.879009
473.730469	-39.118614
484.497070	-39.121677
495.263672	-39.508984
506.030273	-38.625622
516.796875	-38.707153
527.563477	-38.380951
538.330078	-37.335045
549.096680	-36.169647
559.863281	-36.614559
570.629883	-37.982731
581.396484	-39.118382
592.163086	-39.969604
602.929688	-40.481937
613.696289	-40.524048
624.462891	-41.385998
635.229492	-41.909996
645.996094	-42.277020
656.762695	-42.958317
667.529297	-43.069099
678.295898	-43.319260
689.062500	-43.377438
699.829102	-43.292053
710.595703	-43.498291
721.362305	-43.967987
732.128906	-43.668251
742.895508	-43.796062
753.662109	-43.139954
764.428711	-42.502430
775.195312	-41.710453
785.961914	-41.001999
796.728516	-40.333595
807.495117	-38.948669
818.261719	-38.416317
829.028320	-38.718304
839.794922	-38.581963
850.561523	-39.385937
861.328125	-39.916119
872.094727	-40.752083
882.861328	-41.401859
893.627930	-42.263924
904.394531	-43.027485
915.161133	-43.990440
925.927734	-44.867546
936.694336	-45.392975
947.460938	-45.620712
958.227539	-46.405270
968.994141	-46.147018
979.760742	-46.575905
990.527344	-46.793594
1001.293945	-46.510307
1012.060547	-46.429386
1022.827148	-46.105103
1033.593750	-45.770985
1044.360352	-44.889587
1055.126953	-44.499546
1065.893555	-43.947334
1076.660156	-42.754219
1087.426758	-42.060703
1098.193359	-41.056068
1108.959961	-40.280647
1119.726562	-38.986412
1130.493164	-38.699932
1141.259766	-38.142349
1152.026367	-38.765663
1162.792969	-39.383339
1173.559570	-39.867294
1184.326172	-40.735699
1195.092773	-41.589397
1205.859375	-42.271931
1216.625977	-42.844826
1227.392578	-43.670753
1238.159180	-44.478176
1248.925781	-45.505444
1259.692383	-45.876179
1270.458984	-46.692558
1281.225586	-46.796001
1291.992188	-46.926079
1302.758789	-47.245560
