Frequency (Hz)	Level (dB)
10.766602	-66.546539
21.533203	-66.259766
32.299805	-65.915047
43.066406	-65.524803
53.833008	-64.833458
64.599609	-64.050285
75.366211	-62.898373
86.132812	-60.707233
96.899414	-61.259037
107.666016	-61.760014
118.432617	-58.681664
129.199219	-59.526268
139.965820	-58.020264
150.732422	-55.118771
161.499023	-50.890804
172.265625	-46.754826
183.032227	-48.951611
193.798828	-53.106220
204.565430	-55.822582
215.332031	-57.639668
226.098633	-58.563789
236.865234	-59.072563
247.631836	-60.015369
258.398438	-59.476089
269.165039	-59.382679
279.931641	-59.079685
290.698242	-58.521095
301.464844	-57.243591
312.231445	-56.272682
322.998047	-54.078911
333.764648	-51.210369
344.531250	-48.813705
355.297852	-48.983204
366.064453	-51.180389
376.831055	-53.737389
387.597656	-55.201092
398.364258	-56.418774
409.130859	-56.972248
419.897461	-57.122036
430.664062	-57.881542
441.430664	-57.761108
452.197266	-57.199059
462.963867	-56.678902
473.730469	-55.612938
484.497070	-54.443985
495.263672	-53.313908
506.030273	-51.729561
516.796875	-48.650200
527.563477	-45.290043
538.330078	-45.280025
549.096680	-48.029694
559.863281	-51.327972
570.629883	-53.814854
581.396484	-54.776234
592.163086	-55.745461
602.929688	-56.132042
613.696289	-55.950218
624.462891	-55.475666
635.229492	-55.866447
645.996094	-55.557320
656.762695	-54.548214
667.529297	-53.445042
678.295898	-51.519444
689.062500	-48.822933
699.829102	-45.987354
710.595703	-45.158146
721.362305	-45.515850
732.128906	-47.901047
742.895508	-50.493710
753.662109	-51.879372
764.428711	-52.994930
775.195312	-53.425995
785.961914	-53.541489
796.728516	-53.663143
807.495117	-52.934910
818.261719	-52.493214
829.028320	-52.519417
839.794922	-51.919189
850.561523	-51.051735
861.328125	-49.405602
872.094727	-47.726761
882.861328	-44.914116
893.627930	-43.217911
904.394531	-42.348358
915.161133	-42.922272
925.927734	-44.201565
936.694336	-46.321480
947.460938	-48.014797
958.227539	-49.494759
968.994141	-49.881222
979.760742	-50.328655
990.527344	-50.071430
1001.293945	-49.356941
1012.060547	-48.312874
1022.827148	-46.854324
1033.593750	-44.550053
1044.360352	-41.870518
1055.126953	-40.632797
1065.893555	-40.760353
1076.660156	-40.225456
1087.426758	-40.359653
1098.193359	-41.901604
1108.959961	-44.539383
1119.726562	-46.217075
1130.493164	-47.229515
1141.259766	-47.657204
1152.026367	-47.979633
1162.792969	-47.981617
1173.559570	-46.769749
1184.326172	-46.461597
1195.092773	-44.933659
1205.859375	-42.756374
1216.625977	-41.934834
1227.392578	-41.796623
1238.159180	-41.652653
1248.925781	-41.740074
1259.692383	-42.717106
1270.458984	-43.517345
1281.225586	-44.319321
1291.992188	-45.518372
1302.758789	-45.482182
1313.525391	-45.791656
1324.291992	-45.948502
1335.058594	-45.874031
1345.825195	-45.895840
1356.591797	-45.406460
1367.358398	-45.161201
1378.125000	-44.676689
1388.891602	-44.028229
1399.658203	-43.074749
1410.424805	-42.505466
1421.191406	-42.167332
1431.958008	-41.898201
1442.724609	-41.147610
1453.491211	-41.004627
1464.257812	-41.335274
1475.024414	-41.905216
1485.791016	-41.753994
1496.557617	-42.243206
1507.324219	-43.089203
1518.090820	-43.122936
1528.857422	-42.535290
1539.624023	-43.036449
1550.390625	-42.968498
1561.157227	-42.006645
1571.923828	-41.061375
1582.690430	-40.631580
1593.457031	-40.018879
1604.223633	-39.363979
1614.990234	-39.093910
1625.756836	-38.239559
1636.523438	-38.050667
1647.290039	-38.377659
1658.056641	-38.708221
1668.823242	-38.934875
1679.589844	-39.923981
1690.356445	-40.291874
1701.123047	-40.979767
1711.889648	-41.246803
1722.656250	-40.819775
1733.422852	-41.096531
1744.189453	-40.589191
1754.956055	-40.092983
1765.722656	-38.476559
1776.489258	-37.166325
1787.255859	-36.477875
1798.022461	-36.291203
1808.789062	-35.707283
1819.555664	-36.045227
1830.322266	-36.260967
1841.088867	-36.417534
1851.855469	-37.664413
1862.622070	-38.139725
1873.388672	-39.457920
1884.155273	-40.642395
1894.921875	-40.737530
1905.688477	-41.072868
1916.455078	-40.713398
1927.221680	-39.851379
1937.988281	-38.247940
1948.754883	-36.825733
1959.521484	-35.534184
1970.288086	-35.036320
1981.054688	-34.749809
1991.821289	-34.833363
2002.587891	-34.889866
2013.354492	-35.359856
2024.121094	-35.624470
2034.887695	-36.604809
2045.654297	-38.423714
2056.420898	-39.981026
2067.187500	-41.039410
2077.954102	-41.039604
2088.720703	-40.880821
2099.487305	-40.012714
2110.253906	-38.325668
2121.020508	-37.083946
2131.787109	-35.438148
2142.553711	-34.533142
2153.320312	-34.951824
2164.086914	-34.047852
2174.853516	-34.223392
2185.620117	-34.795216
2196.386719	-35.401623
2207.153320	-35.684929
2217.919922	-37.236790
2228.686523	-38.874382
2239.453125	-40.379631
2250.219727	-41.037170
2260.986328	-41.339951
2271.752930	-41.014637
2282.519531	-38.958191
2293.286133	-37.379898
