Frequency (Hz)	Level (dB)
10.766602	-35.191036
21.533203	-35.012413
32.299805	-34.840317
43.066406	-34.999664
53.833008	-34.509396
64.599609	-34.549088
75.366211	-34.385834
86.132812	-34.855118
96.899414	-34.687202
107.666016	-34.994568
118.432617	-34.871094
129.199219	-35.227028
139.965820	-35.108753
150.732422	-35.131905
161.499023	-34.940529
172.265625	-34.584442
183.032227	-34.909779
193.798828	-35.272728
204.565430	-34.953236
215.332031	-35.001644
226.098633	-34.548500
236.865234	-34.587948
247.631836	-35.133015
258.398438	-34.599094
269.165039	-34.835819
279.931641	-34.995670
290.698242	-35.135071
301.464844	-34.824078
312.231445	-35.017437
322.998047	-34.764656
333.764648	-34.858425
344.531250	-34.515244
355.297852	-34.903748
366.064453	-34.860905
376.831055	-34.790638
387.597656	-34.519325
398.364258	-34.563736
409.130859	-34.741116
419.897461	-34.810558
430.664062	-35.404331
441.430664	-34.969788
452.197266	-34.838680
462.963867	-34.933144
473.730469	-34.720890
484.497070	-34.816269
495.263672	-34.860985
506.030273	-34.805138
516.796875	-34.759998
527.563477	-34.901505
538.330078	-35.056644
549.096680	-34.883583
559.863281	-34.931660
570.629883	-34.936539
581.396484	-34.772629
592.163086	-34.969139
602.929688	-34.953266
613.696289	-34.864147
624.462891	-34.538090
635.229492	-34.691086
645.996094	-34.901447
656.762695	-34.620022
667.529297	-34.874458
678.295898	-35.110867
689.062500	-35.318657
699.829102	-34.830887
710.595703	-35.087955
721.362305	-34.892525
732.128906	-35.187752
742.895508	-35.314301
753.662109	-34.979092
764.428711	-34.850517
775.195312	-34.714458
785.961914	-34.805050
796.728516	-34.991417
807.495117	-34.408478
818.261719	-34.649128
829.028320	-34.761871
839.794922	-34.894829
850.561523	-35.059528
861.328125	-34.566086
872.094727	-34.753864
882.861328	-34.946564
893.627930	-35.031822
904.394531	-34.908070
915.161133	-35.295536
925.927734	-34.895332
936.694336	-34.969837
947.460938	-34.863522
958.227539	-35.068474
968.994141	-34.682510
979.760742	-34.905079
990.527344	-35.010353
1001.293945	-34.842812
1012.060547	-34.774097
1022.827148	-35.065334
1033.593750	-34.973076
1044.360352	-34.570740
1055.126953	-34.657837
1065.893555	-34.700806
1076.660156	-34.690235
1087.426758	-34.597431
1098.193359	-34.690262
1108.959961	-34.837933
1119.726562	-34.825081
1130.493164	-34.814960
1141.259766	-34.692043
1152.026367	-34.853149
