Frequency (Hz)	Level (dB)
0.672913	-96.903854
1.345825	-96.821678
2.018738	-96.862190
2.691650	-96.591042
3.364563	-95.752548
4.037476	-95.179657
4.710388	-95.583580
5.383301	-95.154694
6.056213	-94.937622
6.729126	-92.969597
7.402039	-94.732704
8.074951	-94.824562
8.747864	-94.803520
9.420776	-93.902695
10.093689	-92.424606
10.766602	-91.208435
11.439514	-89.477638
12.112427	-89.312828
12.785339	-91.142799
13.458252	-91.284958
14.131165	-91.082726
14.804077	-90.207756
15.476990	-90.078957
16.149902	-89.934822
16.822815	-89.713768
17.495728	-90.156677
18.168640	-90.609695
18.841553	-89.935295
19.514465	-89.896606
20.187378	-90.879120
20.860291	-91.014725
21.533203	-87.948708
22.206116	-86.934448
22.879028	-87.638672
23.551941	-86.879959
24.224854	-87.612747
24.897766	-87.726463
25.570679	-86.808777
26.243591	-87.419518
26.916504	-86.836617
27.589417	-87.033966
28.262329	-84.272667
28.935242	-83.630585
29.608154	-82.590164
30.281067	-85.588547
30.953979	-85.444420
31.626892	-85.091377
32.299805	-85.247795
32.972717	-85.942642
33.645630	-84.638077
34.318542	-85.435387
34.991455	-85.224953
35.664368	-84.482117
36.337280	-84.865028
37.010193	-83.955681
37.683105	-84.922768
38.356018	-84.724190
39.028931	-86.580475
39.701843	-85.771088
40.374756	-84.222023
41.047668	-85.002953
41.720581	-83.309021
42.393494	-81.548332
43.066406	-84.500389
43.739319	-84.232605
44.412231	-84.721893
45.085144	-84.346024
45.758057	-81.509644
46.430969	-82.707649
47.103882	-83.273621
47.776794	-85.079903
48.449707	-83.660553
49.122620	-82.632423
49.795532	-82.469704
50.468445	-82.747147
51.141357	-83.163696
51.814270	-83.103752
52.487183	-84.156937
53.160095	-81.753906
53.833008	-83.784462
54.505920	-82.809044
55.178833	-82.037933
55.851746	-82.621132
56.524658	-81.524574
57.197571	-80.422775
57.870483	-80.705688
58.543396	-80.028885
59.216309	-80.488960
59.889221	-79.552574
60.562134	-81.962944
61.235046	-80.705376
61.907959	-80.346298
62.580872	-80.109596
63.253784	-80.904549
63.926697	-81.365509
64.599609	-81.764565
65.272522	-82.708847
65.945435	-82.739372
66.618347	-80.876892
67.291260	-82.836395
67.964172	-82.316055
68.637085	-82.470848
69.309998	-82.328781
69.982910	-80.580688
70.655823	-81.660416
71.328735	-80.655273
72.001648	-81.677681
72.674561	-79.929970
73.347473	-81.393394
74.020386	-80.082726
74.693298	-82.669876
75.366211	-82.088821
76.039124	-80.435364
76.712036	-83.242432
77.384949	-81.370789
78.057861	-79.875641
78.730774	-80.706223
79.403687	-80.830589
80.076599	-81.165901
80.749512	-81.401268
81.422424	-81.164192
82.095337	-80.608116
82.768250	-81.660530
83.441162	-81.759224
84.114075	-82.403687
84.786987	-81.417694
85.459900	-83.189339
86.132812	-82.408005
86.805725	-80.594780
87.478638	-80.531311
88.151550	-79.250633
88.824463	-79.747711
89.497375	-80.503830
90.170288	-80.405251
90.843201	-80.729668
91.516113	-78.916763
92.189026	-76.578819
92.861938	-80.470131
93.534851	-79.142494
94.207764	-83.208672
94.880676	-80.634254
95.553589	-80.288811
96.226501	-81.599892
96.899414	-81.115669
97.572327	-81.454712
98.245239	-82.107712
98.918152	-81.105431
99.591064	-81.603172
100.263977	-81.460487
100.936890	-80.989006
101.609802	-80.064461
102.282715	-80.963661
102.955627	-80.628738
103.628540	-79.371353
104.301453	-79.170891
104.974365	-81.561783
105.647278	-81.612122
106.320190	-79.796242
106.993103	-78.968803
107.666016	-78.684738
108.338928	-80.330193
109.011841	-81.153908
109.684753	-80.412308
110.357666	-81.064247
111.030579	-80.583473
111.703491	-81.332115
112.376404	-81.140793
113.049316	-79.612358
113.722229	-79.470467
114.395142	-80.467911
115.068054	-79.425064
115.740967	-79.522354
116.413879	-78.955139
117.086792	-77.891838
117.759705	-75.957764
118.432617	-67.553131
119.105530	-66.363701
119.778442	-74.947464
120.451355	-76.180717
121.124268	-77.536621
121.797180	-78.942841
122.470093	-79.356140
123.143005	-76.863708
123.815918	-80.268593
124.488831	-79.904648
125.161743	-79.641716
125.834656	-80.217216
126.507568	-79.432121
127.180481	-80.303261
127.853394	-79.497673
128.526306	-80.847450
129.199219	-79.666130
129.872131	-79.554893
130.545044	-81.102989
131.217957	-79.321358
131.890869	-81.338989
132.563782	-78.856346
133.236694	-78.058540
133.909607	-78.442497
134.582520	-81.444397
135.255432	-79.714005
135.928345	-79.926643
136.601257	-79.466537
137.274170	-79.672951
137.947083	-79.784523
138.619995	-80.358185
139.292908	-80.289917
139.965820	-79.118660
140.638733	-77.504532
141.311646	-78.974701
141.984558	-79.746376
142.657471	-78.509506
143.330383	-80.147995
144.003296	-79.719368
144.676208	-79.735931
145.349121	-79.223259
146.022034	-79.901085
146.694946	-78.417046
147.367859	-78.763695
148.040771	-79.431671
148.713684	-79.521614
149.386597	-79.267159
150.059509	-79.251762
150.732422	-77.675407
151.405334	-78.322571
152.078247	-77.703209
152.751160	-76.667343
153.424072	-80.041214
154.096985	-79.326309
154.769897	-79.475029
155.442810	-80.142075
156.115723	-79.109665
156.788635	-78.455948
157.461548	-78.462364
158.134460	-78.459801
158.807373	-78.737915
159.480286	-78.923790
160.153198	-79.525764
160.826111	-77.380821
161.499023	-79.018539
162.171936	-79.327942
162.844849	-78.693909
163.517761	-77.589798
164.190674	-77.476204
164.863586	-76.463211
165.536499	-79.535950
166.209412	-78.737282
166.882324	-79.108871
167.555237	-79.212639
168.228149	-77.776031
168.901062	-76.245262
169.573975	-77.312614
170.246887	-78.252708
170.919800	-77.577774
171.592712	-78.245354
172.265625	-76.373947
172.938538	-77.087379
173.611450	-78.549065
174.284363	-77.106628
174.957275	-77.965919
175.630188	-78.310074
176.303101	-77.783089
176.976013	-78.029289
177.648926	-76.216614
178.321838	-75.810989
178.994751	-76.575600
179.667664	-75.206619
180.340576	-77.729584
181.013489	-76.780067
181.686401	-76.689735
182.359314	-77.187683
183.032227	-75.629341
183.705139	-76.612083
184.378052	-74.807884
185.050964	-76.718597
185.723877	-75.722893
186.396790	-75.829498
187.069702	-74.806801
187.742615	-75.498428
188.415527	-75.747726
189.088440	-75.737778
189.761353	-75.510391
190.434265	-75.173744
191.107178	-75.334358
191.780090	-78.318298
192.453003	-74.618996
193.125916	-74.236885
193.798828	-74.352913
194.471741	-75.316528
195.144653	-73.900978
195.817566	-73.374466
196.490479	-74.636909
197.163391	-74.345573
197.836304	-75.215401
198.509216	-73.734406
199.182129	-74.190094
199.855042	-73.358139
200.527954	-74.404144
201.200867	-73.568924
201.873779	-72.775093
202.546692	-73.941483
203.219604	-73.699196
203.892517	-72.793365
204.565430	-72.596466
205.238342	-72.092522
205.911255	-72.311195
206.584167	-72.072174
207.257080	-72.514038
207.929993	-73.698616
208.602905	-73.906532
209.275818	-71.988579
209.948730	-72.697762
210.621643	-72.616776
211.294556	-73.978630
211.967468	-70.674629
212.640381	-72.475624
213.313293	-71.611191
213.986206	-71.226257
214.659119	-70.698860
215.332031	-70.415466
216.004944	-71.001518
216.677856	-71.278030
217.350769	-71.600685
218.023682	-71.120598
218.696594	-70.156555
219.369507	-70.278000
220.042419	-70.609039
220.715332	-68.733322
221.388245	-69.299889
222.061157	-70.943069
222.734070	-69.987511
223.406982	-68.577438
224.079895	-66.556747
224.752808	-69.654388
225.425720	-69.460274
226.098633	-67.409279
226.771545	-68.374977
227.444458	-68.340942
228.117371	-68.690094
228.790283	-66.501495
229.463196	-65.884155
230.136108	-65.762581
230.809021	-66.603706
231.481934	-66.415070
232.154846	-66.689369
232.827759	-67.200073
233.500671	-66.602013
234.173584	-65.578316
234.846497	-65.160660
235.519409	-65.240906
236.192322	-66.039986
236.865234	-66.249069
237.538147	-64.982643
238.211060	-64.650520
238.883972	-64.596710
239.556885	-65.930466
240.229797	-63.043007
240.902710	-64.339127
241.575623	-63.197079
242.248535	-65.110168
242.921448	-63.973392
243.594360	-62.348305
244.267273	-63.504822
244.940186	-63.158211
245.613098	-61.913189
246.286011	-62.128265
246.958923	-62.263073
247.631836	-62.544235
248.304749	-60.887547
248.977661	-62.565914
249.650574	-63.035877
250.323486	-64.165344
250.996399	-63.507687
251.669312	-62.566490
252.342224	-63.074055
253.015137	-63.222904
253.688049	-62.452438
254.360962	-62.419861
255.033875	-63.033669
255.706787	-62.341537
256.379700	-63.833199
257.052612	-64.326500
257.725525	-66.285393
258.398438	-66.277496
259.071350	-63.317764
259.744263	-65.188042
260.417175	-65.482254
261.090088	-66.512489
261.763000	-63.663143
262.435913	-66.017311
263.108826	-65.332558
263.781738	-67.112579
264.454651	-65.987717
265.127563	-64.783447
265.800476	-66.375031
266.473389	-66.755524
267.146301	-66.479073
267.819214	-66.008904
268.492126	-65.596664
269.165039	-65.565399
269.837952	-67.220078
270.510864	-69.121223
271.183777	-68.661949
271.856689	-68.053337
272.529602	-69.490105
273.202515	-68.752899
273.875427	-68.631454
274.548340	-68.565422
275.221252	-68.472404
275.894165	-68.768608
276.567078	-68.642845
277.239990	-69.066849
277.912903	-69.601845
278.585815	-67.752739
279.258728	-67.753616
279.931641	-70.607010
280.604553	-70.446228
281.277466	-68.352173
281.950378	-70.067375
282.623291	-71.305061
283.296204	-69.179909
283.969116	-70.098679
284.642029	-70.178772
285.314941	-69.603058
285.987854	-72.122116
286.660767	-70.266632
287.333679	-70.271622
288.006592	-71.375641
288.679504	-71.934570
289.352417	-70.496407
290.025330	-72.010994
290.698242	-71.630692
291.371155	-71.483902
292.044067	-72.137375
292.716980	-70.973976
293.389893	-71.915543
294.062805	-69.406868
294.735718	-70.936485
295.408630	-72.413277
296.081543	-72.395370
296.754456	-71.463226
297.427368	-74.148117
298.100281	-72.120140
298.773193	-72.694809
299.446106	-70.522171
