Frequency (Hz)	Level (dB)
0.672913	-95.824226
1.345825	-95.689781
2.018738	-95.603180
2.691650	-95.677353
3.364563	-95.708221
4.037476	-94.642853
4.710388	-95.102585
5.383301	-94.470238
6.056213	-94.453926
6.729126	-93.184563
7.402039	-94.151642
8.074951	-94.465630
8.747864	-93.917442
9.420776	-93.584877
10.093689	-91.933449
10.766602	-91.332146
11.439514	-90.344040
12.112427	-90.303490
12.785339	-90.479042
13.458252	-91.806740
14.131165	-91.952507
14.804077	-91.309052
15.476990	-91.129967
16.149902	-90.568047
16.822815	-91.057945
17.495728	-90.449463
18.168640	-89.745171
18.841553	-89.672997
19.514465	-89.441208
20.187378	-90.352242
20.860291	-90.352119
21.533203	-88.901253
22.206116	-88.429070
22.879028	-86.477066
23.551941	-88.218147
24.224854	-87.062370
24.897766	-87.400429
25.570679	-89.176239
26.243591	-87.459320
26.916504	-87.328400
27.589417	-87.118202
28.262329	-86.582893
28.935242	-87.680344
29.608154	-84.871887
30.281067	-86.825417
30.953979	-88.454010
31.626892	-86.902596
32.299805	-87.287888
32.972717	-87.261055
33.645630	-85.053726
34.318542	-84.951454
34.991455	-85.738701
35.664368	-85.764427
36.337280	-86.741287
37.010193	-85.023865
37.683105	-85.598694
38.356018	-88.151329
39.028931	-86.936188
39.701843	-88.504677
40.374756	-84.979744
41.047668	-84.355858
41.720581	-84.524864
42.393494	-83.592804
43.066406	-84.443588
43.739319	-85.207146
44.412231	-84.181694
45.085144	-86.759132
45.758057	-85.624359
46.430969	-84.006615
47.103882	-85.089066
47.776794	-85.072380
48.449707	-84.045799
49.122620	-83.391724
49.795532	-83.834190
50.468445	-83.886696
51.141357	-83.458031
51.814270	-85.216003
52.487183	-84.205124
53.160095	-82.590958
53.833008	-83.228577
54.505920	-82.715614
55.178833	-82.246887
55.851746	-81.748062
56.524658	-82.573044
57.197571	-82.362061
57.870483	-80.220856
58.543396	-80.468994
59.216309	-78.239304
59.889221	-82.398689
60.562134	-81.919250
61.235046	-82.601952
61.907959	-82.172119
62.580872	-81.069809
63.253784	-81.509827
63.926697	-82.270058
64.599609	-82.396019
65.272522	-82.983414
65.945435	-83.656464
66.618347	-81.201332
67.291260	-83.888008
67.964172	-84.278564
68.637085	-82.995461
69.309998	-82.159691
69.982910	-80.415138
70.655823	-81.998260
71.328735	-81.213387
72.001648	-82.422302
72.674561	-82.533218
73.347473	-81.796013
74.020386	-79.918648
74.693298	-82.858284
75.366211	-81.862732
76.039124	-80.763435
76.712036	-82.816513
77.384949	-81.579918
78.057861	-81.799873
78.730774	-81.522804
79.403687	-80.450050
80.076599	-80.506943
80.749512	-81.019020
81.422424	-80.254013
82.095337	-80.297356
82.768250	-80.015251
83.441162	-80.507645
84.114075	-83.131958
84.786987	-80.877083
85.459900	-82.222672
86.132812	-81.162163
86.805725	-80.587807
87.478638	-80.375252
88.151550	-78.897179
88.824463	-77.635368
89.497375	-80.636894
90.170288	-80.192474
90.843201	-80.504784
91.516113	-80.023827
92.189026	-76.077576
92.861938	-79.400314
93.534851	-77.368034
94.207764	-81.579720
94.880676	-80.595093
95.553589	-80.692535
96.226501	-81.259933
96.899414	-80.407700
97.572327	-82.236259
98.245239	-82.320099
98.918152	-81.614082
99.591064	-80.947556
100.263977	-79.968536
100.936890	-80.631592
101.609802	-79.854553
102.282715	-80.057281
102.955627	-80.085709
103.628540	-78.577316
104.301453	-79.059975
104.974365	-80.492035
105.647278	-80.427246
106.320190	-80.226540
106.993103	-78.181549
107.666016	-78.182495
108.338928	-80.476166
109.011841	-80.513069
109.684753	-79.808594
110.357666	-80.408325
111.030579	-80.613853
111.703491	-80.703423
112.376404	-80.007500
113.049316	-78.626564
113.722229	-79.117958
114.395142	-78.711388
115.068054	-78.408836
115.740967	-79.181595
116.413879	-76.462395
117.086792	-75.032768
117.759705	-71.678894
118.432617	-63.390774
119.105530	-64.169067
119.778442	-72.060890
120.451355	-74.501801
121.124268	-76.885963
121.797180	-76.719597
122.470093	-77.839523
123.143005	-73.557518
123.815918	-79.524323
124.488831	-80.226555
125.161743	-79.522675
125.834656	-79.432716
126.507568	-78.487862
127.180481	-80.068947
127.853394	-79.790962
128.526306	-79.444893
129.199219	-77.988609
129.872131	-78.398399
130.545044	-80.157722
131.217957	-78.435692
131.890869	-79.844437
132.563782	-77.588005
133.236694	-77.163612
133.909607	-77.550293
134.582520	-79.783585
135.255432	-77.616684
135.928345	-78.077194
136.601257	-78.197876
137.274170	-77.687881
137.947083	-77.918518
138.619995	-77.730103
139.292908	-78.112556
139.965820	-77.914246
140.638733	-75.664886
141.311646	-77.025055
141.984558	-78.360756
142.657471	-76.829468
143.330383	-78.683800
144.003296	-77.670219
144.676208	-78.414749
145.349121	-77.346458
146.022034	-77.673897
146.694946	-76.825287
147.367859	-76.589584
148.040771	-77.321945
148.713684	-77.147133
149.386597	-77.018387
150.059509	-76.654922
150.732422	-75.214493
151.405334	-76.131256
152.078247	-75.283585
152.751160	-74.810898
153.424072	-77.184570
154.096985	-76.167641
154.769897	-77.372704
155.442810	-76.612236
156.115723	-76.642250
156.788635	-75.504875
157.461548	-75.656334
158.134460	-75.610435
158.807373	-75.651329
159.480286	-76.092957
160.153198	-76.245110
160.826111	-74.079987
161.499023	-75.414391
162.171936	-75.597931
162.844849	-75.846756
163.517761	-74.317726
164.190674	-74.211624
164.863586	-73.015739
165.536499	-75.375481
166.209412	-74.765862
166.882324	-75.385406
167.555237	-74.957909
168.228149	-73.873177
168.901062	-72.543999
169.573975	-73.135277
170.246887	-74.045540
170.919800	-73.344482
171.592712	-73.951363
172.265625	-72.419640
172.938538	-73.145157
173.611450	-73.776863
174.284363	-72.385170
174.957275	-73.465050
175.630188	-73.372459
176.303101	-72.654945
176.976013	-72.338387
177.648926	-71.024933
178.321838	-70.704506
178.994751	-71.175018
179.667664	-69.720245
180.340576	-71.798874
181.013489	-71.102928
181.686401	-71.233887
182.359314	-71.506592
183.032227	-69.422989
183.705139	-70.413116
184.378052	-68.521690
185.050964	-70.351173
185.723877	-69.454353
186.396790	-69.081467
187.069702	-67.974251
187.742615	-68.882050
188.415527	-68.920341
189.088440	-68.550926
189.761353	-68.675560
190.434265	-67.882309
191.107178	-67.809044
191.780090	-70.482811
192.453003	-66.447861
193.125916	-66.145325
193.798828	-66.358406
194.471741	-66.722580
195.144653	-65.169090
195.817566	-64.794678
196.490479	-65.503891
197.163391	-65.398781
197.836304	-65.493530
198.509216	-64.082054
199.182129	-64.363861
199.855042	-63.350555
200.527954	-64.555695
201.200867	-63.154438
201.873779	-62.314388
202.546692	-62.836777
203.219604	-62.606884
203.892517	-61.630768
204.565430	-61.137054
205.238342	-60.764690
205.911255	-61.054882
206.584167	-60.485580
207.257080	-61.484852
207.929993	-62.304752
208.602905	-62.314861
209.275818	-60.701962
209.948730	-61.528362
210.621643	-61.598564
211.294556	-62.972061
211.967468	-60.016930
212.640381	-61.904507
213.313293	-61.315338
213.986206	-61.644222
214.659119	-61.466579
215.332031	-61.805027
216.004944	-62.488106
216.677856	-63.032898
217.350769	-63.681793
218.023682	-63.725227
218.696594	-63.257923
219.369507	-64.049629
