Frequency (Hz)	Level (dB)
0.672913	-99.865936
1.345825	-99.648590
2.018738	-100.128082
2.691650	-99.542191
3.364563	-99.379349
4.037476	-97.543983
4.710388	-98.476517
5.383301	-97.902718
6.056213	-97.433876
6.729126	-96.485107
7.402039	-96.604355
8.074951	-97.403908
8.747864	-96.991707
9.420776	-95.466148
10.093689	-94.247086
10.766602	-93.974571
11.439514	-93.909172
12.112427	-92.236145
12.785339	-92.025444
13.458252	-93.988075
14.131165	-91.815063
14.804077	-91.956367
15.476990	-91.218956
16.149902	-92.792480
16.822815	-91.144722
17.495728	-92.568405
18.168640	-92.035278
18.841553	-90.225990
19.514465	-89.506210
20.187378	-92.436241
20.860291	-91.257851
21.533203	-90.360092
22.206116	-89.574173
22.879028	-88.135780
23.551941	-90.184669
24.224854	-88.403061
24.897766	-88.181519
25.570679	-89.489334
26.243591	-87.397995
26.916504	-89.458244
27.589417	-88.929535
28.262329	-87.469055
28.935242	-88.092369
29.608154	-85.949486
30.281067	-86.804565
30.953979	-88.035858
31.626892	-88.214752
32.299805	-86.945274
32.972717	-88.078575
33.645630	-88.590065
34.318542	-88.639076
34.991455	-88.276321
35.664368	-87.083313
36.337280	-86.216820
37.010193	-85.689827
37.683105	-86.338219
38.356018	-86.653801
39.028931	-88.084511
39.701843	-87.181084
40.374756	-85.952950
41.047668	-87.123528
41.720581	-86.252785
42.393494	-84.711632
43.066406	-86.233734
43.739319	-86.571640
44.412231	-88.226494
45.085144	-87.950882
45.758057	-85.478790
46.430969	-84.804214
47.103882	-85.549904
47.776794	-86.498695
48.449707	-85.126282
49.122620	-85.533539
49.795532	-86.386337
50.468445	-85.297638
51.141357	-83.939911
51.814270	-84.311707
52.487183	-85.910652
53.160095	-83.902306
53.833008	-84.239410
54.505920	-84.305748
55.178833	-83.383217
55.851746	-82.847183
56.524658	-83.416893
57.197571	-82.360786
57.870483	-82.876251
58.543396	-82.260048
59.216309	-81.277275
59.889221	-83.505806
60.562134	-83.901581
61.235046	-82.506737
61.907959	-82.450073
62.580872	-83.031296
63.253784	-82.789688
63.926697	-81.894791
64.599609	-84.453125
65.272522	-84.101883
65.945435	-84.335365
66.618347	-83.106659
67.291260	-86.345154
67.964172	-85.768280
68.637085	-84.431526
69.309998	-84.461143
69.982910	-83.159073
70.655823	-84.662865
71.328735	-85.061958
72.001648	-83.600174
72.674561	-81.727768
73.347473	-83.224022
74.020386	-82.812904
74.693298	-84.736305
75.366211	-84.024689
76.039124	-82.651932
76.712036	-83.398315
77.384949	-83.601471
78.057861	-83.853249
78.730774	-83.357544
79.403687	-83.235260
80.076599	-83.242874
80.749512	-84.387779
81.422424	-82.803276
82.095337	-83.685356
82.768250	-83.945129
83.441162	-82.835854
84.114075	-83.237137
84.786987	-83.646194
85.459900	-84.144524
86.132812	-82.218506
86.805725	-83.148468
87.478638	-82.589668
88.151550	-81.925041
88.824463	-82.303452
89.497375	-84.496925
90.170288	-82.840599
90.843201	-84.295486
91.516113	-83.143547
92.189026	-80.113861
92.861938	-82.108238
93.534851	-81.050659
94.207764	-84.318176
94.880676	-82.776093
95.553589	-82.829704
96.226501	-83.865601
96.899414	-83.815201
97.572327	-84.601654
98.245239	-85.205032
98.918152	-84.124901
99.591064	-83.982368
100.263977	-83.460793
100.936890	-82.979416
101.609802	-81.417336
102.282715	-82.937462
102.955627	-82.716064
103.628540	-81.575272
104.301453	-81.423241
104.974365	-82.948135
105.647278	-83.726440
106.320190	-83.121414
106.993103	-81.065132
107.666016	-81.530617
108.338928	-83.103218
109.011841	-83.279556
109.684753	-82.047569
110.357666	-83.517601
111.030579	-83.140953
111.703491	-83.866104
112.376404	-84.134529
113.049316	-82.687294
113.722229	-82.398026
114.395142	-83.206146
115.068054	-82.642883
115.740967	-82.558769
116.413879	-81.177185
117.086792	-80.700531
117.759705	-78.993469
118.432617	-71.113754
119.105530	-70.688164
119.778442	-77.737938
120.451355	-78.667328
121.124268	-81.046227
121.797180	-81.918297
122.470093	-82.049797
123.143005	-79.677071
123.815918	-83.840424
124.488831	-83.028885
125.161743	-82.430618
125.834656	-82.802650
126.507568	-81.537491
127.180481	-83.077324
127.853394	-82.010330
128.526306	-83.246223
129.199219	-81.349724
129.872131	-82.529449
130.545044	-83.965179
131.217957	-82.382080
131.890869	-83.851753
132.563782	-81.866135
133.236694	-81.248085
133.909607	-82.010674
134.582520	-84.815407
135.255432	-81.872528
135.928345	-81.917221
136.601257	-81.291580
137.274170	-82.053383
137.947083	-82.807213
138.619995	-82.485107
139.292908	-82.739143
139.965820	-81.754082
140.638733	-80.102173
141.311646	-81.240364
141.984558	-82.200508
142.657471	-81.423347
143.330383	-83.392151
144.003296	-82.183403
144.676208	-82.712074
145.349121	-81.880150
146.022034	-82.526291
146.694946	-80.895737
147.367859	-81.408264
148.040771	-81.931602
148.713684	-82.061462
149.386597	-82.616554
150.059509	-81.825226
150.732422	-80.889542
151.405334	-81.504868
152.078247	-80.922516
152.751160	-79.988770
153.424072	-82.757141
154.096985	-81.937355
154.769897	-82.433266
155.442810	-82.066887
156.115723	-82.341789
156.788635	-81.502266
157.461548	-81.186172
158.134460	-81.647842
158.807373	-82.237236
159.480286	-81.693016
160.153198	-82.064560
160.826111	-80.200394
161.499023	-82.169449
162.171936	-82.449142
162.844849	-81.992874
163.517761	-81.237335
164.190674	-81.229416
164.863586	-80.045357
165.536499	-82.499611
166.209412	-81.430977
166.882324	-82.509048
167.555237	-82.095520
168.228149	-81.098137
168.901062	-79.978973
169.573975	-80.468773
170.246887	-81.307915
170.919800	-81.431282
171.592712	-81.649834
172.265625	-79.963982
172.938538	-81.302971
173.611450	-81.193512
174.284363	-80.499374
174.957275	-81.611916
175.630188	-81.728935
176.303101	-81.391724
176.976013	-81.225060
177.648926	-79.828972
178.321838	-79.216660
178.994751	-80.368484
179.667664	-79.205650
180.340576	-81.505287
181.013489	-80.662239
181.686401	-80.442017
182.359314	-81.281494
183.032227	-79.139633
183.705139	-80.524277
184.378052	-78.741463
185.050964	-80.838280
185.723877	-79.410797
186.396790	-79.749451
187.069702	-78.622772
187.742615	-79.877510
188.415527	-80.201324
189.088440	-79.808792
189.761353	-80.311646
190.434265	-79.569519
191.107178	-79.701744
191.780090	-82.657921
192.453003	-78.945198
193.125916	-78.529556
193.798828	-78.771706
194.471741	-80.070778
195.144653	-78.206863
195.817566	-77.583595
196.490479	-79.138824
197.163391	-78.913589
197.836304	-79.486374
198.509216	-78.427422
199.182129	-78.567688
199.855042	-78.125618
200.527954	-79.447380
201.200867	-78.426170
201.873779	-78.021538
202.546692	-79.299683
203.219604	-78.474731
203.892517	-77.892418
204.565430	-77.651215
205.238342	-77.209320
205.911255	-77.571861
206.584167	-77.203156
207.257080	-78.071136
207.929993	-78.690659
208.602905	-79.050873
209.275818	-77.204514
209.948730	-78.316353
210.621643	-77.877800
211.294556	-79.232071
211.967468	-76.044037
212.640381	-77.575333
213.313293	-77.073242
213.986206	-76.690025
214.659119	-76.206291
215.332031	-76.416275
216.004944	-76.933121
216.677856	-77.073067
217.350769	-77.315331
218.023682	-77.208176
218.696594	-76.020233
219.369507	-76.255600
220.042419	-76.562843
220.715332	-75.201202
221.388245	-76.199226
222.061157	-77.381439
222.734070	-76.398758
223.406982	-75.247871
224.079895	-72.985229
224.752808	-76.181320
225.425720	-76.049446
226.098633	-74.354088
226.771545	-75.411148
227.444458	-75.371124
228.117371	-75.681534
228.790283	-73.693130
229.463196	-73.408142
230.136108	-73.153145
230.809021	-74.100822
231.481934	-74.052353
232.154846	-74.061760
232.827759	-74.323975
233.500671	-74.456459
234.173584	-73.327393
234.846497	-72.926262
235.519409	-73.485031
236.192322	-74.388100
236.865234	-74.349052
237.538147	-71.864258
238.211060	-72.716484
238.883972	-72.672104
239.556885	-74.342484
240.229797	-71.267242
240.902710	-72.745773
241.575623	-71.781166
242.248535	-73.430763
242.921448	-72.919823
243.594360	-70.720375
244.267273	-71.796165
244.940186	-71.406158
245.613098	-70.143768
246.286011	-70.377640
246.958923	-70.728020
247.631836	-70.637169
248.304749	-68.830048
248.977661	-70.320717
249.650574	-70.525940
250.323486	-71.349701
250.996399	-70.580475
251.669312	-68.890846
252.342224	-69.430725
253.015137	-69.143806
253.688049	-68.280556
254.360962	-67.923920
255.033875	-68.267174
255.706787	-67.125427
256.379700	-68.260139
257.052612	-68.319160
257.725525	-69.669434
258.398438	-69.428253
259.071350	-66.202682
259.744263	-67.301025
260.417175	-67.276749
261.090088	-67.887329
261.763000	-64.815384
262.435913	-66.621696
263.108826	-65.785568
263.781738	-66.822311
264.454651	-65.530464
265.127563	-64.032822
265.800476	-65.069458
266.473389	-65.200897
267.146301	-64.528641
267.819214	-63.524410
268.492126	-62.979496
269.165039	-62.665363
269.837952	-64.038994
270.510864	-65.548759
271.183777	-65.162292
271.856689	-64.228058
272.529602	-65.551331
273.202515	-64.408142
273.875427	-64.165199
274.548340	-63.975010
275.221252	-63.536747
275.894165	-63.733723
276.567078	-63.666897
277.239990	-64.082642
277.912903	-64.576553
278.585815	-62.867313
279.258728	-63.113770
279.931641	-65.500099
280.604553	-65.409859
281.277466	-63.594643
281.950378	-64.903061
282.623291	-66.169754
283.296204	-64.436447
283.969116	-65.258873
284.642029	-65.483208
285.314941	-65.028107
285.987854	-67.604240
286.660767	-65.827484
287.333679	-65.571236
288.006592	-67.227280
288.679504	-67.816032
289.352417	-66.367752
290.025330	-68.049294
290.698242	-67.804962
291.371155	-67.673119
292.044067	-68.212799
292.716980	-67.226295
293.389893	-68.129967
294.062805	-65.737549
294.735718	-67.591713
295.408630	-68.913910
296.081543	-69.082893
296.754456	-68.071136
297.427368	-70.899071
298.100281	-68.870125
298.773193	-69.573799
299.446106	-67.589767
300.119019	-70.179710
300.791931	-70.483315
301.464844	-71.138931
302.137756	-71.026009
302.810669	-70.191780
303.483582	-70.104965
304.156494	-69.885773
304.829407	-70.874306
305.502319	-72.668518
306.175232	-71.515053
306.848145	-71.801750
307.521057	-71.637138
308.193970	-70.126587
308.866882	-71.840752
309.539795	-71.194717
310.212708	-72.078362
310.885620	-72.230263
311.558533	-72.714653
312.231445	-73.025116
312.904358	-73.690613
313.577271	-72.258362
314.250183	-74.030449
314.923096	-73.383919
315.596008	-73.500389
316.268921	-72.609657
316.941833	-74.012886
317.614746	-73.317711
318.287659	-73.485771
318.960571	-73.124519
319.633484	-73.046379
320.306396	-73.380745
320.979309	-73.282616
321.652222	-72.902519
322.325134	-73.183281
322.998047	-73.199799
323.670959	-74.027512
324.343872	-74.746742
325.016785	-75.002510
325.689697	-75.866150
326.362610	-75.919533
327.035522	-74.211746
327.708435	-76.165276
328.381348	-76.208862
329.054260	-75.447113
329.727173	-75.840889
330.400085	-75.006226
331.072998	-74.765862
331.745911	-75.007172
332.418823	-74.691162
333.091736	-76.082199
333.764648	-75.151855
334.437561	-74.857903
335.110474	-77.853859
335.783386	-74.900032
336.456299	-75.091934
337.129211	-74.409470
337.802124	-74.965721
338.475037	-76.337624
339.147949	-76.280502
339.820862	-75.190376
340.493774	-75.928070
341.166687	-76.665199
341.839600	-77.265999
342.512512	-74.998489
343.185425	-75.698074
343.858337	-77.607132
344.531250	-75.248665
345.204163	-76.713425
345.877075	-77.078735
346.549988	-75.867386
347.222900	-76.052010
347.895813	-76.832214
