Frequency (Hz)	Level (dB)
0.672913	-94.534569
1.345825	-94.505836
2.018738	-94.598587
2.691650	-94.710365
3.364563	-94.676682
4.037476	-94.210625
4.710388	-93.859886
5.383301	-94.239662
6.056213	-93.799950
6.729126	-92.968765
7.402039	-93.499008
8.074951	-92.928703
8.747864	-93.164551
9.420776	-93.200050
10.093689	-93.263802
10.766602	-93.331711
11.439514	-91.323982
12.112427	-91.263153
12.785339	-90.932396
13.458252	-91.964745
14.131165	-93.010712
14.804077	-92.568535
15.476990	-92.462097
16.149902	-92.417816
16.822815	-91.073601
17.495728	-90.600182
18.168640	-91.874565
18.841553	-89.177643
19.514465	-91.084969
20.187378	-91.201218
20.860291	-91.585243
21.533203	-90.999580
22.206116	-90.651672
22.879028	-89.824562
23.551941	-90.109352
24.224854	-89.496948
24.897766	-91.446983
25.570679	-90.300484
26.243591	-89.793968
26.916504	-89.930641
27.589417	-88.870705
28.262329	-89.138832
28.935242	-90.073219
29.608154	-87.583366
30.281067	-91.188278
30.953979	-89.715561
31.626892	-89.767624
32.299805	-89.082047
32.972717	-90.756477
33.645630	-91.610664
34.318542	-89.913872
34.991455	-89.583031
35.664368	-89.995216
36.337280	-90.583679
37.010193	-89.099831
37.683105	-89.308487
38.356018	-90.253944
39.028931	-90.109505
39.701843	-90.761444
40.374756	-89.846878
41.047668	-88.704910
41.720581	-88.908508
42.393494	-88.608841
43.066406	-89.517250
43.739319	-88.372734
44.412231	-88.524155
45.085144	-87.989731
45.758057	-87.887451
46.430969	-87.766365
47.103882	-88.184555
47.776794	-88.802750
48.449707	-88.676254
49.122620	-90.151711
49.795532	-89.037277
50.468445	-88.796013
51.141357	-88.330185
51.814270	-88.504890
52.487183	-89.650589
53.160095	-88.412788
53.833008	-88.030411
54.505920	-87.839996
55.178833	-87.918167
55.851746	-87.594986
56.524658	-86.016983
57.197571	-86.125427
57.870483	-83.686592
58.543396	-82.903786
59.216309	-74.625351
59.889221	-83.227928
60.562134	-82.536461
61.235046	-83.156212
61.907959	-85.829742
62.580872	-85.806396
63.253784	-84.859428
63.926697	-86.159325
64.599609	-87.298256
65.272522	-87.264496
65.945435	-87.550232
66.618347	-86.222664
67.291260	-86.467529
67.964172	-86.486382
68.637085	-85.361961
69.309998	-85.483505
69.982910	-82.748299
70.655823	-82.772972
71.328735	-81.775154
72.001648	-82.712921
72.674561	-81.597839
73.347473	-80.116745
74.020386	-80.780090
74.693298	-82.147163
75.366211	-84.863846
76.039124	-84.439751
76.712036	-83.854988
77.384949	-83.158844
78.057861	-83.059532
78.730774	-82.878471
79.403687	-79.528534
80.076599	-80.412506
80.749512	-81.893471
81.422424	-81.792084
82.095337	-81.572922
82.768250	-79.078987
83.441162	-79.771103
84.114075	-79.189224
84.786987	-79.218910
85.459900	-78.264519
86.132812	-76.564270
86.805725	-76.429764
87.478638	-77.158707
88.151550	-79.848663
88.824463	-71.609688
89.497375	-75.793549
90.170288	-74.941635
90.843201	-77.522446
91.516113	-77.421608
92.189026	-67.827194
92.861938	-74.085701
93.534851	-71.897171
94.207764	-79.594139
94.880676	-80.199768
95.553589	-79.106377
96.226501	-80.528702
96.899414	-78.836227
97.572327	-81.357780
98.245239	-80.577835
98.918152	-79.732269
99.591064	-79.483688
100.263977	-78.586967
100.936890	-78.429718
101.609802	-78.194061
102.282715	-77.248428
102.955627	-77.566704
103.628540	-76.196266
104.301453	-76.114281
104.974365	-78.106255
105.647278	-75.617607
106.320190	-75.751862
106.993103	-74.812553
107.666016	-74.924004
108.338928	-75.464828
109.011841	-75.581291
109.684753	-74.277962
110.357666	-74.570175
111.030579	-72.274109
111.703491	-72.067970
112.376404	-70.736313
113.049316	-70.864433
113.722229	-68.825890
114.395142	-67.519402
115.068054	-67.417007
115.740967	-66.235100
116.413879	-63.483044
117.086792	-60.136929
117.759705	-56.326866
118.432617	-43.289093
119.105530	-49.879562
119.778442	-55.647644
120.451355	-61.370682
121.124268	-63.932186
121.797180	-64.418343
122.470093	-65.317734
123.143005	-53.373043
123.815918	-67.334885
124.488831	-68.281143
125.161743	-67.973053
125.834656	-68.515541
126.507568	-70.629799
127.180481	-68.413383
127.853394	-68.156342
128.526306	-69.250778
129.199219	-71.119438
129.872131	-71.117340
130.545044	-71.083031
131.217957	-71.590500
131.890869	-73.786942
132.563782	-72.060318
133.236694	-71.382912
133.909607	-73.753578
134.582520	-75.468849
135.255432	-74.309143
135.928345	-74.639999
136.601257	-75.836319
137.274170	-75.930374
137.947083	-75.844406
138.619995	-78.344978
139.292908	-76.959473
139.965820	-76.693489
140.638733	-76.665024
141.311646	-76.988907
141.984558	-78.317696
142.657471	-77.770729
143.330383	-79.138847
144.003296	-79.488449
144.676208	-79.037506
145.349121	-78.636986
146.022034	-80.540421
146.694946	-79.934509
147.367859	-80.172165
148.040771	-80.449738
148.713684	-80.200302
149.386597	-80.368965
150.059509	-81.812340
150.732422	-80.905724
151.405334	-80.461464
152.078247	-81.380646
152.751160	-81.019005
153.424072	-82.023186
154.096985	-82.159546
154.769897	-83.427345
155.442810	-82.706108
156.115723	-83.623703
156.788635	-82.873451
