Frequency (Hz)	Level (dB)
0.672913	-48.574451
1.345825	-50.390816
2.018738	-49.720497
2.691650	-50.159763
3.364563	-49.140320
4.037476	-48.960762
4.710388	-50.989902
5.383301	-50.500374
6.056213	-50.722923
6.729126	-50.673504
7.402039	-49.119297
8.074951	-50.783260
8.747864	-50.190651
9.420776	-48.944061
10.093689	-49.461475
10.766602	-49.641228
11.439514	-50.910000
12.112427	-49.603970
12.785339	-50.107529
13.458252	-51.510204
14.131165	-49.846230
14.804077	-51.574215
15.476990	-51.545837
16.149902	-50.887016
16.822815	-49.523987
17.495728	-50.069981
18.168640	-49.757935
18.841553	-48.964569
19.514465	-52.115219
20.187378	-50.854324
20.860291	-50.457912
21.533203	-49.492451
22.206116	-49.595482
22.879028	-49.081547
23.551941	-48.911064
24.224854	-49.487038
24.897766	-50.969059
25.570679	-50.673294
26.243591	-49.845024
26.916504	-50.140537
27.589417	-50.909760
28.262329	-49.913723
28.935242	-49.627571
29.608154	-51.841862
30.281067	-48.600681
30.953979	-48.861542
31.626892	-49.668251
32.299805	-50.967617
32.972717	-49.834526
33.645630	-48.981564
34.318542	-48.941357
34.991455	-50.727177
35.664368	-49.227024
36.337280	-49.847809
37.010193	-48.312813
37.683105	-48.675255
38.356018	-51.317837
39.028931	-51.964294
39.701843	-51.789925
40.374756	-49.567654
41.047668	-50.384056
41.720581	-49.629017
42.393494	-48.238266
43.066406	-50.110020
43.739319	-50.318584
44.412231	-51.393909
45.085144	-51.852890
45.758057	-49.379829
46.430969	-49.493023
47.103882	-50.417591
47.776794	-50.546440
48.449707	-49.733177
49.122620	-49.615776
49.795532	-49.390083
50.468445	-50.210510
51.141357	-49.189995
51.814270	-50.412933
52.487183	-52.813812
53.160095	-50.797043
53.833008	-50.799931
54.505920	-51.346909
55.178833	-49.650204
55.851746	-49.584862
56.524658	-50.916317
57.197571	-50.700890
57.870483	-50.051235
58.543396	-48.554703
59.216309	-49.112404
59.889221	-49.656021
60.562134	-50.946995
61.235046	-50.935833
61.907959	-49.492908
62.580872	-49.830353
63.253784	-49.569130
63.926697	-49.053711
64.599609	-49.847370
65.272522	-50.402451
65.945435	-51.249878
66.618347	-48.999821
67.291260	-50.954407
67.964172	-50.556580
68.637085	-50.577904
69.309998	-50.122131
69.982910	-48.752396
70.655823	-51.134174
71.328735	-50.784142
72.001648	-50.641651
72.674561	-49.649101
73.347473	-51.038414
74.020386	-49.254375
74.693298	-50.869595
75.366211	-49.757397
76.039124	-48.876606
76.712036	-51.161877
77.384949	-49.888748
78.057861	-49.843082
78.730774	-49.764172
79.403687	-49.221649
80.076599	-49.827408
80.749512	-50.790051
81.422424	-49.574043
82.095337	-49.112053
82.768250	-50.041954
83.441162	-49.630848
84.114075	-51.763077
84.786987	-50.681644
85.459900	-52.341965
86.132812	-50.711536
86.805725	-51.046124
87.478638	-49.954632
88.151550	-48.485546
88.824463	-50.816414
89.497375	-51.537464
90.170288	-50.503437
90.843201	-50.097305
91.516113	-48.924839
92.189026	-49.630863
92.861938	-50.328648
93.534851	-50.223351
94.207764	-51.899845
94.880676	-49.533978
95.553589	-49.160480
96.226501	-50.391830
96.899414	-50.399963
97.572327	-51.075539
98.245239	-51.606449
98.918152	-50.854755
99.591064	-50.651749
100.263977	-50.147305
100.936890	-49.750912
101.609802	-48.559467
102.282715	-49.808517
102.955627	-50.042671
103.628540	-48.906055
104.301453	-48.950306
104.974365	-51.260040
105.647278	-50.969315
106.320190	-49.734753
106.993103	-48.050709
107.666016	-47.995377
108.338928	-49.713688
109.011841	-50.617245
109.684753	-49.729118
110.357666	-50.321732
111.030579	-50.234955
111.703491	-51.797600
112.376404	-50.844948
113.049316	-49.704784
113.722229	-49.884670
114.395142	-50.048306
115.068054	-49.444393
115.740967	-50.691765
116.413879	-49.409275
117.086792	-49.992928
117.759705	-51.148445
118.432617	-50.988682
119.105530	-49.898674
119.778442	-49.378925
120.451355	-48.224815
121.124268	-49.637791
121.797180	-49.746056
122.470093	-51.131374
123.143005	-50.666958
123.815918	-50.779156
124.488831	-50.471218
125.161743	-50.337208
125.834656	-49.928165
126.507568	-49.417744
127.180481	-50.242462
127.853394	-50.020653
128.526306	-50.514706
129.199219	-49.242493
129.872131	-49.424858
130.545044	-50.775703
131.217957	-49.208282
131.890869	-51.335697
132.563782	-48.686119
133.236694	-48.278755
133.909607	-48.847698
134.582520	-51.466991
135.255432	-49.281231
135.928345	-49.561001
136.601257	-49.362194
137.274170	-49.275524
137.947083	-50.137535
138.619995	-49.772671
139.292908	-50.083923
139.965820	-49.348114
140.638733	-47.835850
141.311646	-48.954887
141.984558	-50.037529
142.657471	-48.796879
143.330383	-50.536587
144.003296	-50.096951
144.676208	-50.436646
145.349121	-49.636608
146.022034	-50.309868
146.694946	-49.042522
147.367859	-49.182735
148.040771	-49.907913
148.713684	-49.988285
149.386597	-49.883476
150.059509	-49.753742
150.732422	-48.414944
151.405334	-49.128326
152.078247	-48.432610
152.751160	-48.024521
153.424072	-50.858517
154.096985	-49.926907
154.769897	-50.842571
155.442810	-50.625534
156.115723	-50.344837
156.788635	-49.734348
157.461548	-49.708672
158.134460	-49.918121
158.807373	-50.163643
159.480286	-50.279331
160.153198	-50.448189
160.826111	-48.825241
161.499023	-50.314133
162.171936	-50.621662
162.844849	-50.476845
163.517761	-49.471210
164.190674	-49.254314
164.863586	-48.314171
165.536499	-51.062202
166.209412	-50.133438
166.882324	-50.821129
167.555237	-50.696552
168.228149	-49.923187
168.901062	-48.428150
169.573975	-49.200233
170.246887	-50.405472
170.919800	-50.018829
171.592712	-50.900620
172.265625	-48.895435
172.938538	-49.969624
173.611450	-50.957413
174.284363	-49.958225
174.957275	-50.999512
175.630188	-51.258896
176.303101	-50.840122
176.976013	-50.719936
177.648926	-49.173199
178.321838	-48.872341
178.994751	-49.735291
179.667664	-48.325996
180.340576	-51.066494
181.013489	-50.330494
181.686401	-50.338657
182.359314	-50.860889
183.032227	-49.082771
183.705139	-50.320278
184.378052	-48.472549
185.050964	-50.342655
185.723877	-49.719833
186.396790	-49.743134
187.069702	-48.908337
187.742615	-49.916470
188.415527	-50.143520
189.088440	-50.014118
189.761353	-50.468212
190.434265	-49.890137
191.107178	-49.953579
191.780090	-52.997158
192.453003	-49.437065
193.125916	-49.175827
193.798828	-49.499229
194.471741	-50.572910
195.144653	-49.097073
195.817566	-48.730000
196.490479	-50.298336
197.163391	-50.108253
197.836304	-50.514519
198.509216	-49.486202
199.182129	-50.215034
199.855042	-49.381226
200.527954	-50.649742
201.200867	-49.797550
201.873779	-49.113655
202.546692	-50.282856
203.219604	-50.270042
203.892517	-49.373112
204.565430	-49.312984
205.238342	-48.847912
205.911255	-49.341076
206.584167	-49.199245
207.257080	-50.105579
207.929993	-50.993694
208.602905	-51.467327
209.275818	-49.707127
209.948730	-50.641602
210.621643	-50.548634
211.294556	-51.968662
211.967468	-48.890572
212.640381	-50.822945
213.313293	-49.969955
213.986206	-49.989346
214.659119	-49.659843
215.332031	-49.590561
216.004944	-50.185467
216.677856	-50.733799
217.350769	-50.982422
218.023682	-50.763874
218.696594	-49.782307
219.369507	-50.323742
220.042419	-50.770729
220.715332	-48.951069
221.388245	-49.875038
222.061157	-51.726116
222.734070	-50.802887
223.406982	-49.556190
224.079895	-47.685596
224.752808	-50.861324
225.425720	-50.926991
226.098633	-49.250793
226.771545	-50.206245
227.444458	-50.415131
228.117371	-51.066540
228.790283	-49.161076
229.463196	-48.640182
230.136108	-48.723328
230.809021	-49.825127
231.481934	-49.799835
232.154846	-50.272282
232.827759	-50.761921
233.500671	-50.474930
234.173584	-49.725071
234.846497	-49.613869
235.519409	-50.132862
236.192322	-51.350056
236.865234	-51.188156
237.538147	-49.561810
238.211060	-50.143097
238.883972	-50.198017
239.556885	-52.119118
240.229797	-49.332993
240.902710	-50.582142
241.575623	-49.755035
242.248535	-51.644917
242.921448	-51.205517
243.594360	-49.468990
244.267273	-50.682945
244.940186	-50.406235
245.613098	-49.405315
246.286011	-49.768822
246.958923	-49.929810
247.631836	-50.322243
248.304749	-48.673271
248.977661	-50.203850
249.650574	-50.617229
250.323486	-51.914085
250.996399	-51.320496
251.669312	-49.966442
252.342224	-50.432228
253.015137	-50.482521
253.688049	-49.593349
254.360962	-49.484245
255.033875	-50.147621
255.706787	-49.102486
256.379700	-50.545422
257.052612	-50.785492
257.725525	-52.439980
258.398438	-52.217888
259.071350	-49.388481
259.744263	-50.948200
260.417175	-50.775944
261.090088	-51.935787
261.763000	-48.801453
262.435913	-50.948009
263.108826	-50.219784
263.781738	-51.560455
264.454651	-50.342510
265.127563	-49.057629
265.800476	-50.388062
266.473389	-50.580631
267.146301	-50.049274
267.819214	-49.302402
268.492126	-48.996117
269.165039	-48.635689
269.837952	-50.043228
270.510864	-51.634743
271.183777	-51.288044
271.856689	-50.306549
272.529602	-51.622688
273.202515	-50.779480
273.875427	-50.542885
274.548340	-50.353870
275.221252	-49.940243
275.894165	-50.094406
276.567078	-49.773079
277.239990	-49.960770
277.912903	-50.572090
278.585815	-48.708862
279.258728	-48.528660
279.931641	-51.379662
280.604553	-50.927597
281.277466	-48.769924
281.950378	-50.074409
282.623291	-51.170250
283.296204	-49.042629
283.969116	-49.778267
284.642029	-49.918507
285.314941	-49.088703
285.987854	-51.601711
286.660767	-49.627789
287.333679	-49.272610
288.006592	-50.348194
288.679504	-50.978909
289.352417	-49.281456
290.025330	-50.598358
290.698242	-50.331924
291.371155	-50.077873
292.044067	-50.387165
292.716980	-49.227032
293.389893	-50.081497
294.062805	-47.394588
294.735718	-49.042385
295.408630	-50.370373
296.081543	-50.253292
296.754456	-49.036526
297.427368	-51.590626
298.100281	-49.467949
298.773193	-50.062435
299.446106	-47.983948
300.119019	-50.521938
300.791931	-50.609432
301.464844	-51.019310
302.137756	-50.914204
302.810669	-49.976803
303.483582	-49.635601
304.156494	-49.287006
304.829407	-49.920227
305.502319	-51.735222
306.175232	-50.430641
306.848145	-51.000607
307.521057	-50.352581
308.193970	-48.615395
308.866882	-50.309830
309.539795	-49.719444
310.212708	-50.229412
310.885620	-49.955257
311.558533	-50.648804
312.231445	-50.844788
312.904358	-51.427227
313.577271	-49.649025
314.250183	-51.098324
314.923096	-50.640186
315.596008	-50.765995
316.268921	-49.746853
316.941833	-51.233711
317.614746	-50.319786
318.287659	-50.380508
318.960571	-50.208237
319.633484	-49.534332
320.306396	-49.986553
320.979309	-49.652081
321.652222	-49.191059
322.325134	-49.359150
322.998047	-49.223564
323.670959	-50.373878
324.343872	-50.598721
325.016785	-50.925282
325.689697	-51.593479
326.362610	-51.487396
327.035522	-49.963795
327.708435	-51.799904
328.381348	-52.125660
329.054260	-50.953896
329.727173	-51.468803
330.400085	-50.213947
331.072998	-49.919186
331.745911	-49.892982
332.418823	-49.706089
333.091736	-51.039837
333.764648	-49.987408
334.437561	-49.525612
335.110474	-52.394680
335.783386	-49.761608
336.456299	-49.847385
337.129211	-49.028164
337.802124	-49.251362
338.475037	-50.521763
339.147949	-50.651840
339.820862	-49.454735
340.493774	-50.084057
341.166687	-50.874512
341.839600	-51.552608
342.512512	-48.940681
343.185425	-49.742290
343.858337	-51.250412
344.531250	-49.101044
345.204163	-50.588200
