Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3336
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.10
Room Temp (deg C),24.97
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.12
60.00,24.10
90.00,24.10
120.00,24.12
150.00,24.12
180.00,24.10
210.00,24.12
240.00,24.10
270.00,24.11
300.00,24.09
330.00,24.97
360.00,26.32
390.00,27.43
420.00,28.15
450.00,28.63
480.00,28.87
510.00,29.03
540.00,29.13
570.00,29.20
600.00,29.24
630.00,29.24
660.00,29.25
690.00,29.25
720.00,29.25
750.00,29.25
780.00,29.24
810.00,29.24
840.00,29.25
870.00,29.26
900.00,29.25
930.00,29.25
960.00,29.23
