Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3336
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),24.10
Room Temp (deg C),22.69
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.12
60.00,24.11
90.00,24.11
120.00,24.09
150.00,24.09
180.00,24.07
210.00,24.08
240.00,24.08
270.00,24.10
300.00,24.09
330.00,24.60
360.00,25.39
390.00,26.04
420.00,26.46
450.00,26.74
480.00,26.90
510.00,26.99
540.00,27.04
570.00,27.07
600.00,27.09
630.00,27.09
660.00,27.11
690.00,27.11
720.00,27.10
750.00,27.10
780.00,27.10
810.00,27.08
840.00,27.11
870.00,27.09
900.00,27.10
930.00,27.08
960.00,27.10
