Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3336
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),2.0000
Water Temp (deg C),24.10
Room Temp (deg C),23.57
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.08
60.00,24.08
90.00,24.10
120.00,24.08
150.00,24.08
180.00,24.08
210.00,24.09
240.00,24.10
270.00,24.08
300.00,24.11
330.00,25.29
360.00,27.20
390.00,28.71
420.00,29.72
450.00,30.34
480.00,30.75
510.00,30.98
540.00,31.10
570.00,31.17
600.00,31.22
630.00,31.25
660.00,31.25
690.00,31.26
720.00,31.24
750.00,31.24
780.00,31.22
810.00,31.22
840.00,31.23
870.00,31.21
900.00,31.22
930.00,31.22
960.00,31.22
